epoch,train_loss,train_acc,val_loss,val_acc,lr
1,4.436735,1.9316,4.686803,2.6194,0.00100000
1,4.110960,5.8462,6.672992,6.1633,0.00100000
2,3.559599,13.5556,4.165906,11.0940,0.00100000
3,3.168669,23.8462,4.756551,11.0940,0.00100000
4,2.945082,30.7350,3.657719,17.2573,0.00100000
5,2.716930,37.6239,3.623152,19.5686,0.00100000
6,2.580634,41.7949,3.145612,29.1217,0.00100000
7,2.471501,45.3675,2.787369,38.9831,0.00100000
8,2.365793,49.0598,3.552965,22.3421,0.00100000
9,2.292042,51.0769,3.379786,31.2789,0.00100000
10,2.238960,53.1282,3.175109,34.0524,0.00100000
11,2.160459,55.5556,2.725644,40.3698,0.00100000
12,2.103658,58.2393,2.665458,40.2157,0.00100000
13,2.032912,60.4274,2.508807,44.8382,0.00100000
14,1.986844,62.1709,2.771471,37.2881,0.00100000
15,1.941119,63.3504,2.833419,39.5994,0.00100000
16,1.917570,63.9145,2.765123,40.9861,0.00100000
17,1.883235,65.2991,2.438679,49.6148,0.00100000
18,1.832774,66.2564,2.439806,51.9260,0.00100000
19,1.812753,67.8462,2.747179,43.7596,0.00100000
20,1.803976,68.0855,2.343720,53.1587,0.00100000
21,1.782503,69.0769,2.534488,48.8444,0.00100000
22,1.732329,70.8547,2.675792,46.0709,0.00100000
23,1.726574,70.7692,2.502562,49.7689,0.00100000
24,1.715258,71.1624,2.678187,45.9168,0.00100000
25,1.677297,71.8632,2.840808,40.2157,0.00100000
26,1.670027,72.6325,2.598692,46.6872,0.00050000
27,1.524726,78.5470,2.417794,52.8505,0.00050000
28,1.449709,80.4444,2.527565,49.7689,0.00050000
29,1.478532,79.9829,2.523845,48.2280,0.00050000
30,1.458875,80.5641,2.519667,52.6965,0.00050000
31,1.460360,80.4103,2.505929,49.7689,0.00050000
32,1.466113,79.9145,2.594833,47.6117,0.00025000
33,1.404897,82.9573,2.475967,51.7720,0.00025000
34,1.368677,83.8803,2.408839,52.5424,0.00025000
35,1.382192,83.6752,2.539223,49.4607,0.00025000
36,1.374191,83.4530,2.482548,52.3883,0.00025000
37,1.389224,83.3162,2.427173,53.1587,0.00025000
38,1.406274,82.4444,2.452803,51.0015,0.00012500
39,1.391549,83.0085,2.453553,51.1556,0.00012500
40,1.354599,84.5983,2.522185,49.9230,0.00012500
41,1.400425,82.7692,2.580264,48.3821,0.00012500
42,1.400416,82.9915,2.546470,48.9985,0.00012500
43,1.396216,82.7350,2.514706,49.9230,0.00012500
44,1.420166,82.3077,2.478813,51.0015,0.00006250
45,1.420977,82.0000,2.562271,49.1525,0.00006250
46,1.428186,82.0684,2.548534,49.6148,0.00006250
47,1.449016,81.0769,2.544724,49.6148,0.00006250
48,1.448919,81.0769,2.488839,51.4638,0.00006250
49,1.486620,80.2393,2.547536,48.8444,0.00006250
50,1.481245,80.4103,2.545278,49.6148,0.00003125
51,1.495848,79.9487,2.573441,48.6903,0.00003125
52,1.517600,78.8889,2.628693,48.5362,0.00003125
53,1.524895,78.9573,2.602176,47.3035,0.00003125
54,1.527767,79.1624,2.612906,47.7658,0.00003125
55,1.574583,77.4188,2.623177,47.6117,0.00003125
