epoch,timestep,val_loss,val_acc
1,0,6.672992,6.1633
1,250,6.835752,2.3112
1,500,8.459172,2.4653
1,750,9.134772,1.3867
1,999,9.136619,1.3867
2,0,4.165906,11.0940
2,250,5.572489,4.7766
2,500,7.211148,1.3867
2,750,7.861680,1.6949
2,999,7.933456,1.6949
3,0,4.756551,11.0940
3,250,7.389163,4.7766
3,500,11.560044,2.4653
3,750,12.497405,1.6949
3,999,12.325478,1.3867
4,0,3.657719,17.2573
4,250,5.690793,5.8552
4,500,7.238437,3.0817
4,750,7.074423,2.3112
4,999,7.114315,1.2327
5,0,3.623152,19.5686
5,250,6.039878,6.1633
5,500,8.531980,2.4653
5,750,8.848574,2.0031
5,999,9.074123,1.2327
6,0,3.145612,29.1217
6,250,4.576101,14.0216
6,500,6.420884,2.6194
6,750,6.916708,1.5408
6,999,7.181055,1.0786
7,0,2.787369,38.9831
7,250,3.873487,20.0308
7,500,5.631723,3.3898
7,750,6.151668,1.6949
7,999,6.330102,1.5408
8,0,3.552965,22.3421
8,250,5.529210,5.0847
8,500,7.228355,2.0031
8,750,7.575461,1.8490
8,999,7.852270,1.6949
9,0,3.379786,31.2789
9,250,4.342349,16.0247
9,500,6.689692,3.3898
9,750,7.262828,1.3867
9,999,7.528875,0.9245
10,0,3.175109,34.0524
10,250,3.960976,19.4145
10,500,6.834188,2.9276
10,750,7.688709,1.6949
10,999,7.668592,1.3867
11,0,2.725644,40.3698
11,250,3.505732,23.1125
11,500,5.864373,3.3898
11,750,6.212390,2.0031
11,999,6.168913,1.2327
12,0,2.665458,40.2157
12,250,3.426900,24.3451
12,500,5.401357,4.7766
12,750,6.406396,1.6949
12,999,6.623941,1.3867
13,0,2.508807,44.8382
13,250,3.363326,25.5778
13,500,5.810028,2.9276
13,750,7.021542,1.3867
13,999,7.062574,1.5408
14,0,2.771471,37.2881
14,250,3.563326,24.3451
14,500,5.384757,2.9276
14,750,5.963997,1.3867
14,999,6.384357,1.2327
15,0,2.833419,39.5994
15,250,3.495346,24.6533
15,500,4.988743,2.9276
15,750,5.444676,1.2327
15,999,5.553015,1.0786
16,0,2.765123,40.9861
16,250,3.222377,27.7350
16,500,5.006184,3.8521
16,750,5.369516,0.6163
16,999,5.454708,2.0031
17,0,2.438679,49.6148
17,250,2.989891,34.8228
17,500,5.356512,4.0062
17,750,6.510598,1.6949
17,999,6.796601,1.3867
18,0,2.439806,51.9260
18,250,2.987428,34.9769
18,500,5.113625,4.6225
18,750,5.827211,1.6949
18,999,6.031684,1.6949
19,0,2.747179,43.7596
19,250,3.201707,28.6595
19,500,4.984469,3.6980
19,750,5.440574,1.6949
19,999,5.443427,1.0786
20,0,2.343720,53.1587
20,250,2.970652,37.1341
20,500,5.193988,4.4684
20,750,6.003234,1.3867
20,999,6.240619,1.3867
21,0,2.534488,48.8444
21,250,3.032056,35.4391
21,500,4.758052,4.1602
21,750,5.401663,1.5408
21,999,5.537900,1.3867
22,0,2.675792,46.0709
22,250,2.902855,37.7504
22,500,4.688517,5.5470
22,750,5.143022,0.7704
22,999,5.151297,0.7704
23,0,2.502562,49.7689
23,250,3.169794,33.1279
23,500,5.136390,5.2388
23,750,5.441989,1.6949
23,999,5.476148,0.6163
24,0,2.678187,45.9168
24,250,3.053600,32.8197
24,500,5.024253,4.3143
24,750,5.504891,0.7704
24,999,5.709464,1.5408
25,0,2.840808,40.2157
25,250,3.199762,29.5840
25,500,5.237878,3.8521
25,750,5.699773,1.0786
25,999,5.705483,1.5408
26,0,2.598692,46.6872
26,250,3.033156,35.1310
26,500,4.863793,3.3898
26,750,5.156005,1.5408
26,999,5.166980,1.0786
27,0,2.417794,52.8505
27,250,2.761522,42.0647
27,500,4.635191,5.2388
27,750,5.063246,2.7735
27,999,5.063101,1.0786
28,0,2.527565,49.7689
28,250,2.785214,42.3729
28,500,4.828043,5.0847
28,750,5.272099,1.5408
28,999,5.358152,1.3867
29,0,2.523845,48.2280
29,250,2.878556,38.6749
29,500,4.616340,4.1602
29,750,4.979708,2.0031
29,999,5.063974,1.2327
30,0,2.519667,52.6965
30,250,2.794993,41.9106
30,500,4.612139,5.2388
30,750,5.116594,0.7704
30,999,5.185690,1.2327
31,0,2.505929,49.7689
31,250,2.837667,40.8320
31,500,4.686035,4.9307
31,750,5.223775,1.6949
31,999,5.166842,0.9245
32,0,2.594833,47.6117
32,250,2.844559,40.0616
32,500,4.555431,6.3174
32,750,5.030921,2.0031
32,999,5.192577,1.5408
33,0,2.475967,51.7720
33,250,2.721724,43.7596
33,500,4.471589,6.9337
33,750,5.039874,1.2327
33,999,5.077462,1.3867
34,0,2.408839,52.5424
34,250,2.681846,44.6841
34,500,4.492590,6.4715
34,750,5.037944,2.0031
34,999,5.182349,0.7704
35,0,2.539223,49.4607
35,250,2.765446,40.9861
35,500,4.465900,6.9337
35,750,5.051580,2.3112
35,999,5.145561,1.5408
36,0,2.482548,52.3883
36,250,2.672305,42.2188
36,500,4.459988,6.0092
36,750,5.029719,1.5408
36,999,5.190174,1.0786
37,0,2.427173,53.1587
37,250,2.729986,42.2188
37,500,4.412241,8.4746
37,750,5.123625,1.3867
37,999,5.189897,1.0786
38,0,2.452803,51.0015
38,250,2.654478,44.6841
38,500,4.391293,6.4715
38,750,5.095369,1.8490
38,999,5.142239,1.6949
39,0,2.453553,51.1556
39,250,2.771736,41.4484
39,500,4.327553,7.7042
39,750,4.935733,1.3867
39,999,4.985869,0.9245
40,0,2.522185,49.9230
40,250,2.731635,43.1433
40,500,4.321990,8.1664
40,750,4.931604,1.8490
40,999,5.008797,1.0786
41,0,2.580264,48.3821
41,250,2.860499,40.6780
41,500,4.489461,6.3174
41,750,5.070337,0.9245
41,999,5.097936,1.2327
42,0,2.546470,48.9985
42,250,2.752765,41.9106
42,500,4.450118,6.1633
42,750,5.025236,2.0031
42,999,5.094255,1.3867
43,0,2.514706,49.9230
43,250,2.677539,44.0678
43,500,4.256000,8.3205
43,750,4.886022,1.8490
43,999,4.996508,1.2327
44,0,2.478813,51.0015
44,250,2.670963,45.7627
44,500,4.310274,8.9368
44,750,4.907076,1.8490
44,999,5.083594,1.5408
45,0,2.562271,49.1525
45,250,2.741895,43.2974
45,500,4.279064,9.0909
45,750,4.945236,2.0031
45,999,5.063553,1.2327
46,0,2.548534,49.6148
46,250,2.753757,40.9861
46,500,4.206660,8.1664
46,750,4.876149,2.0031
46,999,4.983865,0.7704
47,0,2.544724,49.6148
47,250,2.752366,42.5270
47,500,4.220003,8.4746
47,750,5.001198,1.5408
47,999,5.059354,1.3867
48,0,2.488839,51.4638
48,250,2.703629,42.8351
48,500,4.237449,10.0154
48,750,4.841987,1.8490
48,999,4.970229,1.3867
49,0,2.547536,48.8444
49,250,2.784573,41.2943
49,500,4.205461,8.7827
49,750,4.903871,1.6949
49,999,5.032713,1.0786
50,0,2.545278,49.6148
50,250,2.735188,41.9106
50,500,4.117656,10.1695
50,750,4.834584,1.6949
50,999,4.928552,1.0786
51,0,2.573441,48.6903
51,250,2.782567,41.6025
51,500,4.098192,10.4777
51,750,4.806376,2.4653
51,999,4.931126,0.9245
52,0,2.628693,48.5362
52,250,2.774115,41.6025
52,500,4.227543,8.4746
52,750,4.872218,2.3112
52,999,5.008124,1.0786
53,0,2.602176,47.3035
53,250,2.762113,41.1402
53,500,4.101051,8.7827
53,750,4.758790,2.0031
53,999,4.877141,1.8490
54,0,2.612906,47.7658
54,250,2.745753,42.2188
54,500,4.102208,8.0123
54,750,4.779691,1.6949
54,999,4.831316,1.6949
55,0,2.623177,47.6117
55,250,2.806684,40.2157
55,500,4.092307,9.7072
55,750,4.783012,1.3867
55,999,4.911699,1.5408
